ROI,X,Y,T,Contour,Max. Feret diam.,Elongation ratio,Avg. ch 0
22307,498.375,655.8125,138,13.4994949366,5,1.6219438912,66.0625
22308,441.45,656.8,138,23.9134559673,8.94427191,2.0359433521,71.275
22309,487.9444444444,649.5277777778,138,21.5992424049,7.2111025509,1.3800695901,82.75
22310,257,644,138,9.2568542495,2.8284271247,1,53.6666666667
22311,270.1228070175,649.0526315789,138,27.1276695297,9.2195444573,1.2649090039,62.7894736842
22312,644.8241758242,641.8791208791,138,39.9845237792,15.1327459504,2.1598124815,64.7582417582
22313,469.0227272727,643.7045454545,138,24.1708152802,9.4868329805,2.2577010738,67.8181818182
22314,236.5,637.5,138,9.2568542495,3.1622776602,0,44.8333333333
22315,422.7391304348,641.5652173913,138,18.7708152802,7,2.105864857,68.4347826087
22316,273.1428571429,631.4285714286,138,10.6710678119,3,1.4577786917,53.7142857143
22317,767.1111111111,631.6666666667,138,10.2852813742,3.1622776602,1.5572201791,48.6666666667
22318,487.6818181818,624.3636363636,138,17.2279220614,5.3851648071,1.3676108265,77.0909090909
22319,236.6666666667,625.8888888889,138,10.2852813742,3.1622776602,1.5572201791,52
22320,336.5294117647,618.6470588235,138,14.5281745931,4.472135955,1.2490385137,64.7647058824
22321,646.3333333333,620.6666666667,138,6.0426406871,1.4142135624,0,47.3333333333
22322,218.6,614.6,138,12.4710678119,4.2426406871,1.1233108048,56.0666666667
22323,481.2857142857,617,138,8.8710678119,2.2360679775,1,82.7142857143
22324,198.5,612,138,11.0568542495,3.6055512755,1.5650845801,58.6666666667
22325,513.3076923077,613.9615384615,138,17.3566017178,5.8309518948,1.2523488791,75.6153846154
22326,409.3333333333,610.5,138,19.0279220614,5.8309518948,1.0469730362,61.6333333333
22327,397.3125,606.9375,138,13.7566017178,4.472135955,1.4720031179,60.8125
22328,710.5,608,138,5.1415926536,1,0,50.5
22329,468.5,610,138,13.113708499,4.1231056256,1.3068378353,72.1875
22330,316.5,604,138,5.1415926536,1,0,48.5
22331,649.6,599.8,138,7.4568542495,2.2360679775,1.6272667602,77.2
22332,694.7826086957,606.0869565217,138,16.9708152802,5.0990195136,1.1835188632,61.0434782609
22333,673.9,605.95,138,15.1708152802,4.472135955,1.0816945753,53.8
22334,184.6,595.8,138,7.4568542495,2.2360679775,93113428.738407,55.4
22335,578.7894736842,595.6315789474,138,15.5566017178,4.472135955,1.0889853815,55.9473684211
22336,541.6944444444,600.1944444444,138,32.6558441227,12.2065556157,1.8865698865,84.6388888889
22337,494.8,597.55,138,16.8421356237,5.3851648071,1.4995138435,70.4
22338,179.375,592.4583333333,138,17.9994949366,5.8309518948,1.3882977087,66.2916666667
22339,514.5,590.5,138,14.913708499,5.0990195136,1.6265765617,70.45
22340,673,592,138,3.1415926536,0,0,63
22341,636.8,599.6,138,41.527416998,14.8660687473,2.0638640799,91.1222222222
22342,662.1,579.02,138,26.3560966544,9.4339811321,1.6143597378,78.08
22343,677.5161290323,584.9032258065,138,20.4421356237,6.7082039325,1.3206159839,58.2580645161
22344,646.1379310345,588.3103448276,138,20.4421356237,7.2801098893,1.831448133,85.5517241379
22345,627,587.5,138,5.1415926536,1,0,62.5
22346,215.1739130435,571,138,15.6852813742,5,1,54.8260869565
22347,169,571.5,138,13.8852813742,5,1.433293184,62.9444444444
22348,294,570,138,3.1415926536,0,0,57
22349,367.3333333333,572.6666666667,138,9.2568542495,2.8284271247,1.7320508076,67
22350,193,558,138,3.1415926536,0,0,65
22351,375.3,564.1,138,16.1994949366,5,1.1494137971,75.45
22352,610.5,563.5,138,5.6568542495,1.4142135624,0,56
22353,182.7,570.7,138,11.6994949366,3.1622776602,1.3695880571,65.5
22354,519.3846153846,555.6153846154,138,11.6994949366,3.6055512755,1.1951767897,82.4615384615
22355,511,555.7142857143,138,8.8710678119,2.2360679775,1,83.1428571429
22356,356,557.2857142857,138,8.8710678119,2.2360679775,1,62.8571428571
22357,657.34375,558.46875,138,19.1566017178,6.4031242374,1.1349772953,64.5625
22358,494.1111111111,541.6666666667,138,10.2852813742,3.1622776602,1.5572201791,73.8888888889
22359,296,538.7142857143,138,8.8710678119,2.2360679775,1,62.4285714286
22360,571.5555555556,537.4444444444,138,15.813708499,5.0990195136,1.5639636218,73.2777777778
22361,608.5,531.175,138,23.141883092,7.6157731059,1.3775075902,59.975
22362,590.4,551.8,138,7.4568542495,2.2360679775,1.6272667602,62.4
22363,437.5333333333,552.6666666667,138,13.4994949366,4.472135955,1.4885104348,58.7333333333
22364,246,545,138,15.4279220614,4.472135955,1.1835071533,51.2105263158
22365,645.9803921569,543.9019607843,138,29.5703102168,11.401754251,2.166851488,55.5882352941
22366,643.875,514.875,138,8.8710678119,2.8284271247,1.209896735,57.375
22367,479.0294117647,517.9411764706,138,30.8558441227,10.4403065089,1.4318287163,92.6764705882
22368,536.0434782609,510.2608695652,138,16.5850288425,5.3851648071,1.2416904495,79.2173913043
22369,490.8870967742,509.064516129,138,28.541883092,9.8488578018,1.3823883768,100.4516129032
22370,584,525,138,3.1415926536,0,0,67
22371,441.6176470588,527.0735294118,138,29.3132034356,9.8488578018,1.2585686619,85.3235294118
22372,279.4814814815,523.2592592593,138,18.8992424049,5.8309518948,1.179871685,53.8518518519
22373,633,516.5,138,7.4568542495,2.2360679775,0,55.3333333333
22374,802.3125,497.125,138,15.1708152802,4.1231056256,1.0964391315,49.25
22375,444.4772727273,501.8181818182,138,28.6703102168,10,2.1047848791,76.2272727273
22376,338.95,495.75,138,14.913708499,5,1.304695196,69.6
